Id,Variable,Description,Type,Segment,Expectation,Conclusion,Comments
1,MSSubClass,Identifies the type of dwelling involved in the sale.,categorical,building,Low,,
2,MSZoning,Identifies the general zoning classification of the sale.,categorical,building,High,,
3,LotFrontage,Linear feet of street connected to property,numerical,space,Medium,,
4,LotArea,Lot size in square feet,numerical,space,High,,
5,Street,Type of road access to property,categorical,building,Low,,
6,Alley,Type of alley access to property,categorical,building,Low,,
7,LotShape,General shape of property,categorical,building,Low,,
8,LandContour,Flatness of the property,categorical,building,Low,,
9,Utilities,Type of utilities available,categorical,building,Medium,,
10,LotConfig,Lot configuration,categorical,Location,Low,,
11,LandSlope,Slope of property,categorical,building,Low,,
12,Neighborhood,Physical locations within Ames city limits,categorical,Location,High,,
13,Condition1,Proximity to various conditions,categorical,Location,Medium,,
14,Condition2,Proximity to various conditions (if more than one is present),categorical,Location,Medium,,
15,BldgType,Type of dwelling,categorical,building,Medium,,
16,HouseStyle,Style of dwelling,categorical,building,Low,,
17,OverallQual,Rates the overall material and finish of the house,numerical,building,High,,
18,OverallCond,Rates the overall condition of the house,numerical,building,High,,
19,YearBuilt,Original construction date,numerical,building,High,,
20,YearRemodAdd,Remodel date (same as construction date if no remodeling or additions),numerical,building,Medium,,
21,RoofStyle,Type of roof,categorical,building,Low,,
22,RoofMatl,Roof material,categorical,building,Low,,
23,Exterior1st,Exterior covering on house,categorical,building,Medium,,
24,Exterior2nd,Exterior covering on house (if more than one material),categorical,building,Medium,,
25,MasVnrType,Masonry veneer type,categorical,building,Medium,,
26,MasVnrArea,Masonry veneer area in square feet,numerical,building,Low,,
27,ExterQual,Evaluates the quality of the material on the exterior,categorical,building,Low,,
28,ExterCond,Evaluates the present condition of the material on the exterior,categorical,building,Low,,
29,Foundation,Type of foundation,categorical,building,Medium,,
30,BsmtQual,Evaluates the height of the basement,categorical,space,Low,,
31,BsmtCond,Evaluates the general condition of the basement,categorical,building,Low,,
32,BsmtExposure,Refers to walkout or garden level walls,categorical,building,Low,,
33,BsmtFinType1,Rating of basement finished area,categorical,building,Low,,
34,BsmtFinSF1,Type 1 finished square feet,numerical,space,Medium,,
35,BsmtFinType2,Rating of basement finished area (if multiple types),categorical,space,Low,,
36,BsmtFinSF2,Type 2 finished square feet,numerical,space,Medium,,
37,BsmtUnfSF,Unfinished square feet of basement area,numerical,space,Low,,
38,TotalBsmtSF,Total square feet of basement area,numerical,space,High,,
39,Heating,Type of heating,categorical,building,Medium,,
40,HeatingQC,Heating quality and condition,categorical,building,Medium,,
41,CentralAir,Central air conditioning,categorical,building,Medium,,
42,Electrical,Electrical system,categorical,building,Medium,,
43,1stFlrSF,First Floor square feet,numerical,space,Low,,
44,2ndFlrSF,Second floor square feet,numerical,space,Low,,
45,LowQualFinSF,Low quality finished square feet (all floors),numerical,space,Low,,
46,GrLivArea,Above grade (ground) living area square feet,numerical,space,High,,
47,BsmtFullBath,Basement full bathrooms,numerical,space,Medium,,
48,BsmtHalfBath,Basement half bathrooms,numerical,space,Medium,,
49,FullBath,Full bathrooms above grade,numerical,space,High,,
50,HalfBath,Half baths above grade,numerical,space,High,,
51,BedroomAbvGr,Bedrooms above grade (does NOT include basement bedrooms),numerical,space,High,,
52,KitchenAbvGr,Kitchens above grade,numerical,space,Medium,,
53,KitchenQual,Kitchen quality,categorical,building,Medium,,
54,TotRmsAbvGrd,Total rooms above grade (does not include bathrooms),numerical,space,Medium,,
55,Functional,Home functionality (Assume typical unless deductions are warranted),categorical,building,High,,
56,Fireplaces,Number of fireplaces,numerical,building,Medium,,
57,FireplaceQu,Fireplace quality,categorical,building,Medium,,
58,GarageType,Garage location,categorical,building,Low,,
59,GarageYrBlt,Year garage was built,numerical,building,Low,,
60,GarageFinish,Interior finish of the garage,categorical,building,Low,,
61,GarageCars,Size of garage in car capacity,numerical,space,Low,,
62,GarageArea,Size of garage in square feet,numerical,space,Low,,
63,GarageQual,Garage quality,categorical,building,Low,,
64,GarageCond,Garage condition,categorical,building,Low,,
65,PavedDrive,Paved driveway,categorical,building,Low,,
66,WoodDeckSF,Wood deck area in square feet,numerical,space,Medium,,
67,OpenPorchSF,Open porch area in square feet,numerical,space,Medium,,
68,EnclosedPorch,Enclosed porch area in square feet,numerical,space,Medium,,
69,3SsnPorch,Three season porch area in square feet,numerical,space,Medium,,
70,ScreenPorch,Screen porch area in square feet,numerical,space,Medium,,
71,PoolArea,Pool area in square feet,numerical,space,Medium,,
72,PoolQC,Pool quality,categorical,building,Low,,
73,Fence,Fence quality,categorical,building,Low,,
74,MiscFeature,Miscellaneous feature not covered in other categories,categorical,building,High,,
75,MiscVal,$Value of miscellaneous feature,numerical,building,High,,
76,MoSold,Month Sold (MM),numerical,building,Medium,,
77,YrSold,Year Sold (YYYY),numerical,building,Medium,,
78,SaleType,Type of sale,categorical,building,Medium,,
79,SaleCondition,Condition of sale,categorical,building,Medium,,
80,SalePrice,Sale Price,numerical,building,High,,
